rep_id,name,region,product_line,tenure_months,base_salary,monthly_target,actual_sales,deals_closed,month,year
REP033,Piya Gaba,South,DataSync,22,1260311,349780,258700.0,6,1,2024
REP034,Manikya Tara,East,CloudCore,72,730662,431959,277300.0,6,1,2024
REP035,Zara Dugar,North,SecureAPI,9,859942,503138,303500.0,5,1,2024
REP036,Priyansh Bali,North,CloudCore,23,1356926,429821,269400.0,4,1,2024
REP037,Jiya Vora,East,SecureAPI,26,742001,367962,195500.0,6,1,2024
REP038,Lakshit Sagar,North,CloudCore,54,1046629,462855,258100.0,5,1,2024
REP039,Vivaan Wagle,North,SecureAPI,34,1397347,501760,176400.0,1,1,2024
REP040,Hridaan Deo,South,SecureAPI,56,835965,522326,396700.0,4,1,2024
REP041,Nishith Sharma,East,SecureAPI,43,974088,595027,482000.0,6,1,2024
REP042,Siya Master,North,DataSync,33,1129445,369629,279800.0,8,1,2024
REP043,Keya Iyengar,South,CloudCore,61,1064569,565767,413100.0,7,1,2024
REP044,Madhup Biswas,South,DataSync,4,826066,420136,198200.0,3,1,2024
REP045,Divij Shroff,North,DataSync,15,1390341,319204,192400.0,2,1,2024
REP046,Faiyaz Bose,South,SecureAPI,36,1280458,384722,259200.0,4,1,2024
REP047,Vritika Sangha,East,SecureAPI,11,1161826,580495,263000.0,3,1,2024
REP048,Kimaya Balay,East,CloudCore,23,849415,629734,528900.0,5,1,2024
REP049,Vaibhav Raju,East,DataSync,41,1068857,460347,251900.0,3,1,2024
REP050,Eva Dass,North,DataSync,4,1354634,475076,142900.0,1,1,2024
REP051,Pihu Sen,North,CloudCore,16,1113921,470407,256300.0,2,1,2024
REP052,Pihu Wali,West,CloudCore,22,962235,542788,382600.0,3,1,2024
REP053,Tiya Rege,East,DataSync,46,810430,353371,239500.0,4,1,2024
REP054,Faiyaz Din,South,DataSync,67,1026807,428065,341700.0,7,1,2024
REP055,Indranil Karan,West,CloudCore,14,903266,622075,521000.0,8,1,2024
REP056,Saira Vora,West,DataSync,3,896228,387439,238600.0,2,1,2024
REP057,Damini Singh,East,DataSync,36,1034030,342357,140000.0,4,1,2024
REP058,Dishani Bera,East,SecureAPI,57,989239,497038,234000.0,4,1,2024
REP059,Navya Kulkarni,North,CloudCore,22,878898,686046,645600.0,9,1,2024
REP060,Indrans Grover,South,SecureAPI,21,1137151,462666,454000.0,6,1,2024
REP061,Hrishita Sood,South,CloudCore,49,1073232,420916,374800.0,8,1,2024
REP062,Kismat Edwin,North,CloudCore,34,1020281,453893,220300.0,4,1,2024
REP063,Advik Bhalla,South,DataSync,22,1176117,542683,345900.0,6,1,2024
REP064,Zara Dube,North,CloudCore,25,970395,616161,226200.0,1,1,2024
REP065,Bhavin Dara,North,SecureAPI,55,1148321,560301,544100.0,6,1,2024
REP066,Dharmajan Setty,South,SecureAPI,37,1010222,391732,340000.0,4,1,2024
REP067,Darshit Sidhu,West,CloudCore,51,963346,420302,209600.0,1,1,2024
REP068,Gokul Sahni,West,DataSync,28,1083238,514063,321000.0,5,1,2024
REP069,Ira Butala,East,DataSync,42,883321,515098,282900.0,3,1,2024
REP070,Eva Viswanathan,North,SecureAPI,31,1038651,356203,153700.0,2,1,2024
REP071,Lakshit Madan,East,DataSync,45,908910,373034,289000.0,8,1,2024
REP072,Riya Dugal,West,SecureAPI,47,1142683,518160,356000.0,6,1,2024
REP073,Oorja Sachar,South,DataSync,6,1097235,330236,243600.0,3,1,2024
REP074,Advika Yogi,South,SecureAPI,25,1023903,502198,346500.0,7,1,2024
REP075,Fateh Dasgupta,South,DataSync,7,1028361,328417,65800.0,1,1,2024
REP076,Chirag Gara,North,CloudCore,43,1162479,628796,514300.0,4,1,2024
REP077,Khushi Malhotra,West,SecureAPI,17,1386265,450976,337800.0,6,1,2024
REP078,Khushi Choudhary,West,SecureAPI,35,1049312,361635,170700.0,2,1,2024
REP079,Devansh Sathe,West,DataSync,69,851773,542633,280900.0,5,1,2024
REP080,Manikya Bandi,East,SecureAPI,28,1060110,445478,122300.0,4,1,2024
REP001,Anay Shanker,South,DataSync,67,937330,539239,266200.0,5,2,2024
REP002,Nirvaan Choudhury,West,DataSync,67,1162942,459637,444400.0,9,2,2024
REP003,Sara Behl,West,CloudCore,23,1242077,682789,709100.0,8,2,2024
REP004,Kiara Kakar,East,CloudCore,70,1183621,400299,183300.0,4,2,2024
REP005,Aniruddh Batra,East,CloudCore,5,956170,458650,313000.0,7,2,2024
REP006,Mehul Krishnan,West,SecureAPI,33,1172451,365184,167900.0,5,2,2024
REP007,Jhanvi Chaudhary,North,SecureAPI,13,1394916,372453,315800.0,7,2,2024
REP008,Madhup Kapur,East,SecureAPI,11,1127831,549387,307400.0,6,2,2024
REP009,Zoya Virk,South,DataSync,19,881869,472949,335400.0,6,2,2024
REP010,Tara Swaminathan,West,CloudCore,24,1426510,538966,436200.0,5,2,2024
REP011,Rasha Kakar,West,CloudCore,57,1486059,511043,393200.0,7,2,2024
REP012,Ranbir Brahmbhatt,North,DataSync,42,1010922,404593,257400.0,6,2,2024
REP013,Tarini Ganguly,West,DataSync,59,1241559,535828,233500.0,3,2,2024
REP014,Divij Gupta,East,CloudCore,34,763441,517806,377200.0,4,2,2024
REP015,Taimur Vaidya,East,DataSync,32,711028,454256,417400.0,7,2,2024
REP016,Lavanya Deo,East,CloudCore,10,737220,520031,322200.0,6,2,2024
REP017,Samiha Karpe,South,CloudCore,45,782938,437149,421000.0,8,2,2024
REP018,Uthkarsh Baral,North,SecureAPI,65,1092004,406160,318900.0,5,2,2024
REP019,Mishti Ranganathan,North,DataSync,63,1398782,363700,276600.0,6,2,2024
REP020,Kashvi Char,South,SecureAPI,27,1176833,374726,184300.0,4,2,2024
REP021,Azad Sahota,East,SecureAPI,48,925994,461038,393500.0,4,2,2024
REP022,Trisha Dhillon,South,CloudCore,15,806802,431778,310700.0,5,2,2024
REP023,Mehul Verma,East,CloudCore,16,877892,530367,385600.0,4,2,2024
REP024,Vaibhav Dewan,West,CloudCore,60,1412336,473495,422700.0,7,2,2024
REP025,Myra Tiwari,West,SecureAPI,62,1142075,415485,309300.0,5,2,2024
REP026,Ishaan Goyal,North,DataSync,59,879046,511818,291000.0,4,2,2024
REP027,Lakshay Sampath,West,DataSync,15,1427057,313261,233800.0,7,2,2024
REP028,Rati Sanghvi,West,CloudCore,4,1416847,448896,348700.0,4,2,2024
REP029,Mahika Ravi,South,DataSync,24,997861,406539,224000.0,3,2,2024
REP030,Hazel Sethi,South,SecureAPI,54,974130,586569,441600.0,5,2,2024
REP031,Ishaan Kashyap,North,CloudCore,3,1197382,604693,496600.0,5,2,2024
REP032,Purab Reddy,West,SecureAPI,39,1327110,460888,349100.0,7,2,2024
REP033,Piya Gaba,South,DataSync,22,1260311,349780,267900.0,5,2,2024
REP034,Manikya Tara,East,CloudCore,72,730662,431959,430400.0,6,2,2024
REP035,Zara Dugar,North,SecureAPI,9,859942,503138,250000.0,1,2,2024
REP036,Priyansh Bali,North,CloudCore,23,1356926,429821,339100.0,7,2,2024
REP037,Jiya Vora,East,SecureAPI,26,742001,367962,189800.0,5,2,2024
REP038,Lakshit Sagar,North,CloudCore,54,1046629,462855,299800.0,5,2,2024
REP039,Vivaan Wagle,North,SecureAPI,34,1397347,501760,329700.0,7,2,2024
REP040,Hridaan Deo,South,SecureAPI,56,835965,522326,434700.0,7,2,2024
REP041,Nishith Sharma,East,SecureAPI,43,974088,595027,497400.0,7,2,2024
REP042,Siya Master,North,DataSync,33,1129445,369629,248600.0,3,2,2024
REP043,Keya Iyengar,South,CloudCore,61,1064569,565767,506200.0,6,2,2024
REP044,Madhup Biswas,South,DataSync,4,826066,420136,147800.0,3,2,2024
REP045,Divij Shroff,North,DataSync,15,1390341,319204,260600.0,7,2,2024
REP046,Faiyaz Bose,South,SecureAPI,36,1280458,384722,373300.0,9,2,2024
REP047,Vritika Sangha,East,SecureAPI,11,1161826,580495,232900.0,1,2,2024
REP048,Kimaya Balay,East,CloudCore,23,849415,629734,444400.0,7,2,2024
REP049,Vaibhav Raju,East,DataSync,41,1068857,460347,244900.0,5,2,2024
REP050,Eva Dass,North,DataSync,4,1354634,475076,218300.0,4,2,2024
REP051,Pihu Sen,North,CloudCore,16,1113921,470407,157100.0,1,2,2024
REP052,Pihu Wali,West,CloudCore,22,962235,542788,416100.0,6,2,2024
REP053,Tiya Rege,East,DataSync,46,810430,353371,232500.0,5,2,2024
REP054,Faiyaz Din,South,DataSync,67,1026807,428065,344800.0,7,2,2024
REP055,Indranil Karan,West,CloudCore,14,903266,622075,417900.0,6,2,2024
REP056,Saira Vora,West,DataSync,3,896228,387439,273500.0,7,2,2024
REP057,Damini Singh,East,DataSync,36,1034030,342357,145800.0,5,2,2024
REP058,Dishani Bera,East,SecureAPI,57,989239,497038,239300.0,5,2,2024
REP059,Navya Kulkarni,North,CloudCore,22,878898,686046,683300.0,6,2,2024
REP060,Indrans Grover,South,SecureAPI,21,1137151,462666,400300.0,7,2,2024
REP061,Hrishita Sood,South,CloudCore,49,1073232,420916,403500.0,6,2,2024
REP062,Kismat Edwin,North,CloudCore,34,1020281,453893,307200.0,5,2,2024
REP063,Advik Bhalla,South,DataSync,22,1176117,542683,328700.0,5,2,2024
REP064,Zara Dube,North,CloudCore,25,970395,616161,334100.0,5,2,2024
REP065,Bhavin Dara,North,SecureAPI,55,1148321,560301,538200.0,5,2,2024
REP066,Dharmajan Setty,South,SecureAPI,37,1010222,391732,327100.0,7,2,2024
REP067,Darshit Sidhu,West,CloudCore,51,963346,420302,156200.0,2,2,2024
REP068,Gokul Sahni,West,DataSync,28,1083238,514063,185900.0,3,2,2024
REP069,Ira Butala,East,DataSync,42,883321,515098,300100.0,3,2,2024
REP070,Eva Viswanathan,North,SecureAPI,31,1038651,356203,197900.0,5,2,2024
REP071,Lakshit Madan,East,DataSync,45,908910,373034,292500.0,5,2,2024
REP072,Riya Dugal,West,SecureAPI,47,1142683,518160,291000.0,6,2,2024
REP073,Oorja Sachar,South,DataSync,6,1097235,330236,229400.0,7,2,2024
REP074,Advika Yogi,South,SecureAPI,25,1023903,502198,275100.0,2,2,2024
REP075,Fateh Dasgupta,South,DataSync,7,1028361,328417,182300.0,5,2,2024
REP076,Chirag Gara,North,CloudCore,43,1162479,628796,434800.0,7,2,2024
REP077,Khushi Malhotra,West,SecureAPI,17,1386265,450976,423500.0,9,2,2024
REP078,Khushi Choudhary,West,SecureAPI,35,1049312,361635,208600.0,2,2,2024
REP079,Devansh Sathe,West,DataSync,69,851773,542633,204600.0,1,2,2024
REP080,Manikya Bandi,East,SecureAPI,28,1060110,445478,266700.0,5,2,2024
REP001,Anay Shanker,South,DataSync,67,937330,539239,285300.0,3,3,2024
REP002,Nirvaan Choudhury,West,DataSync,67,1162942,459637,599900.0,11,3,2024
REP003,Sara Behl,West,CloudCore,23,1242077,682789,912400.0,9,3,2024
REP004,Kiara Kakar,East,CloudCore,70,1183621,400299,221500.0,2,3,2024
REP005,Aniruddh Batra,East,CloudCore,5,956170,458650,513200.0,8,3,2024
REP006,Mehul Krishnan,West,SecureAPI,33,1172451,365184,273000.0,6,3,2024
REP007,Jhanvi Chaudhary,North,SecureAPI,13,1394916,372453,410100.0,8,3,2024
REP008,Madhup Kapur,East,SecureAPI,11,1127831,549387,539100.0,6,3,2024
REP009,Zoya Virk,South,DataSync,19,881869,472949,457100.0,8,3,2024
REP010,Tara Swaminathan,West,CloudCore,24,1426510,538966,486400.0,7,3,2024
REP011,Rasha Kakar,West,CloudCore,57,1486059,511043,452500.0,7,3,2024
REP012,Ranbir Brahmbhatt,North,DataSync,42,1010922,404593,224100.0,5,3,2024
REP013,Tarini Ganguly,West,DataSync,59,1241559,535828,359200.0,5,3,2024
REP014,Divij Gupta,East,CloudCore,34,763441,517806,538800.0,9,3,2024
REP015,Taimur Vaidya,East,DataSync,32,711028,454256,573400.0,10,3,2024
REP016,Lavanya Deo,East,CloudCore,10,737220,520031,572900.0,6,3,2024
REP017,Samiha Karpe,South,CloudCore,45,782938,437149,542100.0,10,3,2024
REP018,Uthkarsh Baral,North,SecureAPI,65,1092004,406160,479500.0,7,3,2024
REP019,Mishti Ranganathan,North,DataSync,63,1398782,363700,350700.0,9,3,2024
REP020,Kashvi Char,South,SecureAPI,27,1176833,374726,416300.0,6,3,2024
REP021,Azad Sahota,East,SecureAPI,48,925994,461038,595500.0,10,3,2024
REP022,Trisha Dhillon,South,CloudCore,15,806802,431778,384100.0,6,3,2024
REP023,Mehul Verma,East,CloudCore,16,877892,530367,457500.0,4,3,2024
REP024,Vaibhav Dewan,West,CloudCore,60,1412336,473495,605800.0,8,3,2024
REP025,Myra Tiwari,West,SecureAPI,62,1142075,415485,402700.0,5,3,2024
REP026,Ishaan Goyal,North,DataSync,59,879046,511818,406900.0,5,3,2024
REP027,Lakshay Sampath,West,DataSync,15,1427057,313261,237100.0,5,3,2024
REP028,Rati Sanghvi,West,CloudCore,4,1416847,448896,443700.0,5,3,2024
REP029,Mahika Ravi,South,DataSync,24,997861,406539,223200.0,6,3,2024
REP030,Hazel Sethi,South,SecureAPI,54,974130,586569,473100.0,5,3,2024
REP031,Ishaan Kashyap,North,CloudCore,3,1197382,604693,726500.0,8,3,2024
REP032,Purab Reddy,West,SecureAPI,39,1327110,460888,509500.0,7,3,2024
REP033,Piya Gaba,South,DataSync,22,1260311,349780,358300.0,9,3,2024
REP034,Manikya Tara,East,CloudCore,72,730662,431959,363100.0,4,3,2024
REP035,Zara Dugar,North,SecureAPI,9,859942,503138,357100.0,7,3,2024
REP036,Priyansh Bali,North,CloudCore,23,1356926,429821,449600.0,7,3,2024
REP037,Jiya Vora,East,SecureAPI,26,742001,367962,199900.0,5,3,2024
REP038,Lakshit Sagar,North,CloudCore,54,1046629,462855,470700.0,8,3,2024
REP039,Vivaan Wagle,North,SecureAPI,34,1397347,501760,347100.0,5,3,2024
REP040,Hridaan Deo,South,SecureAPI,56,835965,522326,445800.0,5,3,2024
REP041,Nishith Sharma,East,SecureAPI,43,974088,595027,620400.0,10,3,2024
REP042,Siya Master,North,DataSync,33,1129445,369629,394800.0,10,3,2024
REP043,Keya Iyengar,South,CloudCore,61,1064569,565767,641600.0,7,3,2024
REP044,Madhup Biswas,South,DataSync,4,826066,420136,356500.0,5,3,2024
REP045,Divij Shroff,North,DataSync,15,1390341,319204,263000.0,6,3,2024
REP046,Faiyaz Bose,South,SecureAPI,36,1280458,384722,338300.0,5,3,2024
REP047,Vritika Sangha,East,SecureAPI,11,1161826,580495,443300.0,8,3,2024
REP048,Kimaya Balay,East,CloudCore,23,849415,629734,668900.0,6,3,2024
REP049,Vaibhav Raju,East,DataSync,41,1068857,460347,351500.0,6,3,2024
REP050,Eva Dass,North,DataSync,4,1354634,475076,612500.0,12,3,2024
REP051,Pihu Sen,North,CloudCore,16,1113921,470407,363300.0,7,3,2024
REP052,Pihu Wali,West,CloudCore,22,962235,542788,619100.0,10,3,2024
REP053,Tiya Rege,East,DataSync,46,810430,353371,395000.0,7,3,2024
REP054,Faiyaz Din,South,DataSync,67,1026807,428065,462100.0,6,3,2024
REP055,Indranil Karan,West,CloudCore,14,903266,622075,595800.0,9,3,2024
REP056,Saira Vora,West,DataSync,3,896228,387439,310700.0,5,3,2024
REP057,Damini Singh,East,DataSync,36,1034030,342357,192000.0,2,3,2024
REP058,Dishani Bera,East,SecureAPI,57,989239,497038,320700.0,5,3,2024
REP059,Navya Kulkarni,North,CloudCore,22,878898,686046,822000.0,11,3,2024
REP060,Indrans Grover,South,SecureAPI,21,1137151,462666,576400.0,7,3,2024
REP061,Hrishita Sood,South,CloudCore,49,1073232,420916,603400.0,13,3,2024
REP062,Kismat Edwin,North,CloudCore,34,1020281,453893,176300.0,1,3,2024
REP063,Advik Bhalla,South,DataSync,22,1176117,542683,588300.0,8,3,2024
REP064,Zara Dube,North,CloudCore,25,970395,616161,264000.0,5,3,2024
REP065,Bhavin Dara,North,SecureAPI,55,1148321,560301,672000.0,10,3,2024
REP066,Dharmajan Setty,South,SecureAPI,37,1010222,391732,444500.0,9,3,2024
REP067,Darshit Sidhu,West,CloudCore,51,963346,420302,291100.0,3,3,2024
REP068,Gokul Sahni,West,DataSync,28,1083238,514063,263600.0,6,3,2024
REP069,Ira Butala,East,DataSync,42,883321,515098,293500.0,4,3,2024
REP070,Eva Viswanathan,North,SecureAPI,31,1038651,356203,281200.0,4,3,2024
REP071,Lakshit Madan,East,DataSync,45,908910,373034,337800.0,8,3,2024
REP072,Riya Dugal,West,SecureAPI,47,1142683,518160,371300.0,6,3,2024
REP073,Oorja Sachar,South,DataSync,6,1097235,330236,331300.0,6,3,2024
REP074,Advika Yogi,South,SecureAPI,25,1023903,502198,291200.0,5,3,2024
REP075,Fateh Dasgupta,South,DataSync,7,1028361,328417,335000.0,8,3,2024
REP076,Chirag Gara,North,CloudCore,43,1162479,628796,677400.0,9,3,2024
REP077,Khushi Malhotra,West,SecureAPI,17,1386265,450976,334800.0,4,3,2024
REP078,Khushi Choudhary,West,SecureAPI,35,1049312,361635,257400.0,6,3,2024
REP079,Devansh Sathe,West,DataSync,69,851773,542633,313800.0,3,3,2024
REP080,Manikya Bandi,East,SecureAPI,28,1060110,445478,363800.0,8,3,2024
REP001,Anay Shanker,South,DataSync,67,937330,539239,252000.0,3,4,2024
REP002,Nirvaan Choudhury,West,DataSync,67,1162942,459637,473600.0,10,4,2024
REP003,Sara Behl,West,CloudCore,23,1242077,682789,733300.0,10,4,2024
REP004,Kiara Kakar,East,CloudCore,70,1183621,400299,274700.0,6,4,2024
REP005,Aniruddh Batra,East,CloudCore,5,956170,458650,325300.0,6,4,2024
REP006,Mehul Krishnan,West,SecureAPI,33,1172451,365184,192800.0,5,4,2024
REP007,Jhanvi Chaudhary,North,SecureAPI,13,1394916,372453,292700.0,8,4,2024
REP008,Madhup Kapur,East,SecureAPI,11,1127831,549387,266900.0,3,4,2024
REP009,Zoya Virk,South,DataSync,19,881869,472949,483600.0,8,4,2024
REP010,Tara Swaminathan,West,CloudCore,24,1426510,538966,473600.0,6,4,2024
REP011,Rasha Kakar,West,CloudCore,57,1486059,511043,359200.0,3,4,2024
REP012,Ranbir Brahmbhatt,North,DataSync,42,1010922,404593,280400.0,5,4,2024
REP013,Tarini Ganguly,West,DataSync,59,1241559,535828,456600.0,7,4,2024
REP014,Divij Gupta,East,CloudCore,34,763441,517806,489300.0,6,4,2024
REP015,Taimur Vaidya,East,DataSync,32,711028,454256,423100.0,8,4,2024
REP016,Lavanya Deo,East,CloudCore,10,737220,520031,408200.0,8,4,2024
REP017,Samiha Karpe,South,CloudCore,45,782938,437149,492900.0,11,4,2024
REP018,Uthkarsh Baral,North,SecureAPI,65,1092004,406160,309200.0,7,4,2024
REP019,Mishti Ranganathan,North,DataSync,63,1398782,363700,321100.0,7,4,2024
REP020,Kashvi Char,South,SecureAPI,27,1176833,374726,252700.0,3,4,2024
REP021,Azad Sahota,East,SecureAPI,48,925994,461038,448700.0,8,4,2024
REP022,Trisha Dhillon,South,CloudCore,15,806802,431778,358300.0,6,4,2024
REP023,Mehul Verma,East,CloudCore,16,877892,530367,261900.0,2,4,2024
REP024,Vaibhav Dewan,West,CloudCore,60,1412336,473495,457500.0,8,4,2024
REP025,Myra Tiwari,West,SecureAPI,62,1142075,415485,336300.0,5,4,2024
REP026,Ishaan Goyal,North,DataSync,59,879046,511818,208500.0,3,4,2024
REP027,Lakshay Sampath,West,DataSync,15,1427057,313261,246700.0,6,4,2024
REP028,Rati Sanghvi,West,CloudCore,4,1416847,448896,307500.0,5,4,2024
REP029,Mahika Ravi,South,DataSync,24,997861,406539,208900.0,4,4,2024
REP030,Hazel Sethi,South,SecureAPI,54,974130,586569,498500.0,8,4,2024
REP031,Ishaan Kashyap,North,CloudCore,3,1197382,604693,689300.0,9,4,2024
REP032,Purab Reddy,West,SecureAPI,39,1327110,460888,315400.0,7,4,2024
REP033,Piya Gaba,South,DataSync,22,1260311,349780,335400.0,5,4,2024
REP034,Manikya Tara,East,CloudCore,72,730662,431959,361600.0,8,4,2024
REP035,Zara Dugar,North,SecureAPI,9,859942,503138,222600.0,2,4,2024
REP036,Priyansh Bali,North,CloudCore,23,1356926,429821,380300.0,5,4,2024
REP037,Jiya Vora,East,SecureAPI,26,742001,367962,220100.0,3,4,2024
REP038,Lakshit Sagar,North,CloudCore,54,1046629,462855,357600.0,7,4,2024
REP039,Vivaan Wagle,North,SecureAPI,34,1397347,501760,291600.0,5,4,2024
REP040,Hridaan Deo,South,SecureAPI,56,835965,522326,415400.0,8,4,2024
REP041,Nishith Sharma,East,SecureAPI,43,974088,595027,504600.0,5,4,2024
REP042,Siya Master,North,DataSync,33,1129445,369629,334900.0,8,4,2024
REP043,Keya Iyengar,South,CloudCore,61,1064569,565767,567700.0,9,4,2024
REP044,Madhup Biswas,South,DataSync,4,826066,420136,171700.0,4,4,2024
REP045,Divij Shroff,North,DataSync,15,1390341,319204,338800.0,6,4,2024
REP046,Faiyaz Bose,South,SecureAPI,36,1280458,384722,242300.0,3,4,2024
REP047,Vritika Sangha,East,SecureAPI,11,1161826,580495,320400.0,4,4,2024
REP048,Kimaya Balay,East,CloudCore,23,849415,629734,565600.0,6,4,2024
REP049,Vaibhav Raju,East,DataSync,41,1068857,460347,280400.0,5,4,2024
REP050,Eva Dass,North,DataSync,4,1354634,475076,232700.0,2,4,2024
REP051,Pihu Sen,North,CloudCore,16,1113921,470407,256100.0,4,4,2024
REP052,Pihu Wali,West,CloudCore,22,962235,542788,425500.0,8,4,2024
REP053,Tiya Rege,East,DataSync,46,810430,353371,273400.0,6,4,2024
REP054,Faiyaz Din,South,DataSync,67,1026807,428065,396300.0,8,4,2024
REP055,Indranil Karan,West,CloudCore,14,903266,622075,543500.0,8,4,2024
REP056,Saira Vora,West,DataSync,3,896228,387439,186200.0,5,4,2024
REP057,Damini Singh,East,DataSync,36,1034030,342357,236500.0,5,4,2024
REP058,Dishani Bera,East,SecureAPI,57,989239,497038,304500.0,5,4,2024
REP059,Navya Kulkarni,North,CloudCore,22,878898,686046,751600.0,10,4,2024
REP060,Indrans Grover,South,SecureAPI,21,1137151,462666,500900.0,8,4,2024
REP061,Hrishita Sood,South,CloudCore,49,1073232,420916,412500.0,7,4,2024
REP062,Kismat Edwin,North,CloudCore,34,1020281,453893,226100.0,4,4,2024
REP063,Advik Bhalla,South,DataSync,22,1176117,542683,496500.0,7,4,2024
REP064,Zara Dube,North,CloudCore,25,970395,616161,402100.0,5,4,2024
REP065,Bhavin Dara,North,SecureAPI,55,1148321,560301,581000.0,8,4,2024
REP066,Dharmajan Setty,South,SecureAPI,37,1010222,391732,332300.0,5,4,2024
REP067,Darshit Sidhu,West,CloudCore,51,963346,420302,311300.0,3,4,2024
REP068,Gokul Sahni,West,DataSync,28,1083238,514063,253900.0,2,4,2024
REP069,Ira Butala,East,DataSync,42,883321,515098,331800.0,5,4,2024
REP070,Eva Viswanathan,North,SecureAPI,31,1038651,356203,194200.0,2,4,2024
REP071,Lakshit Madan,East,DataSync,45,908910,373034,303300.0,8,4,2024
REP072,Riya Dugal,West,SecureAPI,47,1142683,518160,371500.0,4,4,2024
REP073,Oorja Sachar,South,DataSync,6,1097235,330236,304900.0,6,4,2024
REP074,Advika Yogi,South,SecureAPI,25,1023903,502198,341200.0,4,4,2024
REP075,Fateh Dasgupta,South,DataSync,7,1028361,328417,244400.0,6,4,2024
REP076,Chirag Gara,North,CloudCore,43,1162479,628796,527100.0,6,4,2024
REP077,Khushi Malhotra,West,SecureAPI,17,1386265,450976,409500.0,9,4,2024
REP078,Khushi Choudhary,West,SecureAPI,35,1049312,361635,192000.0,6,4,2024
REP079,Devansh Sathe,West,DataSync,69,851773,542633,333600.0,6,4,2024
REP080,Manikya Bandi,East,SecureAPI,28,1060110,445478,247200.0,4,4,2024
REP001,Anay Shanker,South,DataSync,67,937330,539239,329700.0,2,5,2024
REP002,Nirvaan Choudhury,West,DataSync,67,1162942,459637,519100.0,8,5,2024
REP003,Sara Behl,West,CloudCore,23,1242077,682789,700100.0,8,5,2024
REP004,Kiara Kakar,East,CloudCore,70,1183621,400299,355000.0,6,5,2024
REP005,Aniruddh Batra,East,CloudCore,5,956170,458650,349900.0,6,5,2024
REP006,Mehul Krishnan,West,SecureAPI,33,1172451,365184,157200.0,2,5,2024
REP007,Jhanvi Chaudhary,North,SecureAPI,13,1394916,372453,373100.0,8,5,2024
REP008,Madhup Kapur,East,SecureAPI,11,1127831,549387,388600.0,3,5,2024
REP009,Zoya Virk,South,DataSync,19,881869,472949,445900.0,9,5,2024
REP010,Tara Swaminathan,West,CloudCore,24,1426510,538966,508400.0,6,5,2024
REP011,Rasha Kakar,West,CloudCore,57,1486059,511043,446000.0,6,5,2024
REP012,Ranbir Brahmbhatt,North,DataSync,42,1010922,404593,191800.0,1,5,2024
REP013,Tarini Ganguly,West,DataSync,59,1241559,535828,326000.0,2,5,2024
